Date,Total Estimated Ridership,% Change From 2019 Weekday/Saturday/Sunday Average
6/25/20,"1,078,542",-80.40%
6/24/20,"1,066,550",-80.60%
6/23/20,"1,049,910",-80.90%
6/22/20,"999,453",-81.80%
6/21/20,"449,172",-81.30%
6/20/20,"575,801",-81.30%
6/19/20,"986,596",-82.00%
6/18/20,"942,184",-82.90%
6/17/20,"948,333",-82.70%
6/16/20,"932,587",-83.00%
6/15/20,"897,031",-83.70%
6/14/20,"430,439",-82.10%
6/13/20,"545,316",-82.30%
6/12/20,"896,658",-83.70%
6/11/20,"818,297",-85.10%
6/10/20,"857,015",-84.40%
6/9/20,"842,306",-84.70%
6/8/20,"804,542",-85.40%
6/7/20,"377,951",-84.30%
6/6/20,"464,156",-85.00%
6/5/20,"703,531",-87.20%
6/4/20,"726,654",-86.80%
6/3/20,"681,714",-87.60%
6/2/20,"693,760",-87.40%
6/1/20,"687,162",-87.50%
5/31/20,"344,426",-85.70%
5/30/20,"426,737",-86.20%
5/29/20,"657,259",-88.00%
5/28/20,"658,057",-88.00%
5/27/20,"674,465",-87.70%
5/26/20,"656,766",-88.00%
5/25/20,"393,918",-92.80%
5/24/20,"320,015",-86.70%
5/23/20,"335,830",-89.10%
5/22/20,"633,883",-88.50%
5/21/20,"629,298",-88.50%
5/20/20,"625,011",-88.60%
5/19/20,"612,118",-88.90%
5/18/20,"597,617",-89.10%
5/17/20,"288,972",-88.00%
5/16/20,"362,381",-88.30%
5/15/20,"591,440",-89.20%
5/14/20,"568,964",-89.60%
5/13/20,"566,805",-89.70%
5/12/20,"554,567",-89.90%
5/11/20,"522,240",-90.50%
5/10/20,"273,143",-88.70%
5/9/20,"318,118",-89.70%
5/8/20,"528,373",-90.40%
5/7/20,"536,359",-90.20%
5/6/20,"509,871",-90.70%
5/5/20,"523,113",-90.50%
5/4/20,"513,840",-90.60%
5/3/20,"260,278",-89.20%
5/2/20,"327,032",-89.40%
5/1/20,"497,101",-91.00%
4/30/20,"466,362",-91.50%
4/29/20,"478,165",-91.30%
4/28/20,"489,548",-91.10%
4/27/20,"463,088",-91.60%
4/26/20,"218,879",-90.90%
4/25/20,"295,520",-90.40%
4/24/20,"444,065",-91.90%
4/23/20,"453,617",-91.70%
4/22/20,"462,778",-91.60%
4/21/20,"425,509",-92.30%
4/20/20,"441,538",-92.00%
4/19/20,"226,326",-90.60%
4/18/20,"256,494",-91.70%
4/17/20,"437,084",-92.00%
4/16/20,"423,836",-92.30%
4/15/20,"422,408",-92.30%
4/14/20,"433,345",-92.10%
4/13/20,"365,835",-93.30%
4/12/20,"199,696",-91.70%
4/11/20,"258,762",-91.60%
4/10/20,"403,681",-92.70%
4/9/20,"407,044",-92.60%
4/8/20,"429,915",-92.20%
4/7/20,"437,384",-92.00%
4/6/20,"448,188",-91.80%
4/5/20,"228,195",-90.50%
4/4/20,"283,089",-90.80%
4/3/20,"487,081",-91.10%
4/2/20,"488,684",-91.10%
4/1/20,"516,174",-90.60%
3/31/20,"517,329",-90.60%
3/30/20,"547,265",-90.00%
3/29/20,"264,545",-89.00%
3/28/20,"333,566",-89.20%
3/27/20,"657,456",-88.00%
3/26/20,"680,832",-87.60%
3/25/20,"690,292",-87.40%
3/24/20,"741,900",-86.50%
3/23/20,"712,206",-87.00%
3/22/20,"409,545",-83.00%
3/21/20,"620,703",-79.90%
3/20/20,"1,312,246",-76.10%
3/19/20,"1,424,452",-74.10%
3/18/20,"1,627,608",-70.40%
3/17/20,"1,791,398",-67.40%
3/16/20,"2,180,871",-60.30%
3/15/20,"1,154,925",-52.00%
3/14/20,"1,666,873",-46.00%
3/13/20,"3,479,679",-36.70%
3/12/20,"4,143,731",-24.60%
3/11/20,"4,691,094",-14.60%
3/10/20,"4,864,513",-11.50%
3/9/20,"4,970,075",-9.50%
3/8/20,"2,117,633",-12.00%
3/7/20,"2,810,262",-9.00%
3/6/20,"5,186,155",-5.60%
3/5/20,"5,494,021",0.00%
3/4/20,"5,500,756",0.10%
3/3/20,"5,488,720",-0.10%
3/2/20,"5,330,973",-3.00%
3/1/20,"2,211,671",-8.10%